Paper.name,Accession_number,Bacterial.name..Found.of.Species.finder.,NUMBER,Bacterial.name..written.in.paper.
Genome sequence of Oceanobacillus iheyensis isolated from the Iheya Ridge and its unexpected adaptive capabilities to extreme environments ,AP004593,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004594,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004595,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004596,Not found,16,Oceanobacillus iheyensis HTE831
,AP004597,Not found,16,Oceanobacillus iheyensis HTE831
,AP004598,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004599,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004600,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004601,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004603,Oceanobacillus iheyensis HTE831,8,Oceanobacillus iheyensis HTE831
,AP004605,Not found,16,Oceanobacillus iheyensis HTE831
"Complete genome sequence of cyanobacterium Fischerella sp. NIES-3754, providing thermoresistant optogenetic tools",AP017305,Fischerella Major NIES-592,1,Fischerella  and 9 cyanobacteriochromes
Complete Genome Sequence of Thermus aquaticus Y51MC23,CP010822,Thermus Scotoductus SA-01,4,Thermus aquaticus Y51MC23
Complete genome sequence of Pseudomonas frederiksbergensis ERDD5:01 revealed genetic bases for survivability at high altitude ecosystem and bioprospection potential,CP017886,Pseudomonas sp. NP28-5,1,Pseudomonas frederiksbergensis
Genomic and transcriptomic insights into the survival of the subaerial cyanobacterium Nostoc flagelliforme in arid and exposed habitats,CP024785,Nostoc sp. Os-1,1,Nostoc flagelliforme
"Genome analysis of Crassaminicella sp. SY095, an anaerobic mesophilic marine bacterium isolated from a deep-sea hydrothermal vent on the Southwest Indian Ridge",CP042243,Uncultured Firmicutes bacterium,1,Crassaminicella sp. SY095
"Complete genome sequencing of Bacillus sp. TK-2, analysis of its cold evolution adaptability",CP067375,Bacillus Anthracis sp A0389,1, Bacillus sp. TK-2
Complete genome analysis of copper resistant bacteria Pseudoalteromonas sp. CuT4–3 isolated from a deep-sea hydrothermal vent,CP142030,Pseudoalteromonas Agarivorans,1,Pseudoalteromonas sp. CuT4-3
Whole genome sequence analysis reveals high genetic variation of newly isolated Acidithiobacillus ferrooxidans IO-2C,KT203930, Acidithiobacillus spLLS-1,1, Acidithiobacillus ferrooxidans
,CP031188, Flavobacterium arcticum ,1, Flavobacterium arcticum 
Genome Analysis of the Anaerobic Thermohalophilic Bacterium Halothermothrix orenii,CP001098,Halothermothrix ,1,Halothermothrix orenii
Complete genome sequence of Planococcus sp. PAMC21323 isolated from Antarctica and its metabolic potential to detoxify pollutants,CP009129, Planococcus sp.  PAMC21323,1,Planococcus sp. 
Psychrotrophic plant beneficial bacteria from the glacial ecosystem of Sikkim Himalaya: Genomic evidence for the cold adaptation and plant growth promotion,CP013203,,0,
,CP013200,Arthrobacter Alpinus,6,
,CP019062,Rohnella sp. RMRI.05,1,
"Complete genome sequence of Flavobacterium arcticum SM1502T, exhibiting adaption to the Arctic marine salty environment",CP031188,Flavobacterium Articum ,1,Flavobacterium arcticum SM1502T
,NZ_JRLV01000001,Not found,16,Flavobacterium arcticum SM1502T
"Complete genome sequence of a psychrotolerant and piezotolerant bacterium Parasedimentitalea marina W43T, isolated from deep sea water of the New Britain trench",CP033219,Sedimentitalea sp. W43,1,Parasedimentitalea marina 
"Antarctic desert soil bacteria exhibit high novel natural product potential, evaluated through long-read genome sequencing and comparative genomics",CP043178,Arthrobacter sp HLT 1-5,1,
,CP043638,Streptomyces sp NRRL S-104,1,
,CP043639,Sphingomonas sp. TZW2008,1,
,CP043641,Unidentified ,11,
,CP043644,Hymenobacter Profundi,1,
,CP043652,Geodermatophilus sp. Leaf 369,1,
,CP043653,Glaccihabitans Tibetensis,1,
,CP043661,Kribbella Swartbergensis,1,
,CP045492,Uncultured bacterium,11,
,CP045496,Mesorhizobium group,1,
,CP045497,Uncultured bacterium,11,
,CP045702,Strptomyces Finlayi,1,
,CP045704,Streptomyces Cliastaticus,1,
"Complete Genome Sequence and Comparative Genome Analysis of Variovorax sp. Strains PAMC28711, PAMC26660, and PAMC28562 and Trehalose Metabolic Pathways in Antarctica Isolates",CP060295,Variovorax sp. GV040,1,Variovorax sp. Strains
,CP060296,UnculturedVariovorax sp. ,1,Variovorax sp. Strains
Complete genome analysis reveals environmental adaptability of sulfur-oxidizing bacterium Thioclava nitratireducens M1-LQ-LJL-11 and symbiotic relationship with deep-sea hydrothermal vent Chrysomallon squamiferum,CP123974, Thioclava sp,1, Thioclava nitratireducens 
,NZ_CP039290,Pseudoarthrobacter Sulfonivirus,1,Arthrobacter sp. PAMC25564
Whole Genome Sequence of Dermacoccus abyssi MT1.1 Isolated from the Challenger Deep of the Mariana Trench Reveals Phenazine Biosynthesis Locus and Environmental Adaptation Factors,QWLM01000000,Dermacoccus sp. MT3.1,1,Dermacoccus abyssi MT1.1
,CP024608,Massilia Violaceinigra,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,CP038026,Massilia sp. 4D6,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,CP029343,Massilia Oculi,1,"Massilia rubra sp. nov. , Massilia aquatica sp. nov., Massilia mucilaginosa sp. nov., Massilia frigida sp. Nov"
,CP001796,Lactobacillus Plantarum,6,Lactiplantibacillus plantarum DMDL 9010
,CP004082,Lactobacillus Plantarum,6,Lactiplantibacillus plantarum DMDL 9010
,CP063986,Lactobacillus Plantarum,6,Lactiplantibacillus plantarum DMDL 9010
,NC_021514,Lactobacillus Plantarum,6,Lactiplantibacillus plantarum DMDL 9010
"Complete genome sequence of the Sulfodiicoccus acidiphilus strain HS-1T, the first crenarchaeon that lacks polB3, isolated from an acidic hot spring in Ohwaku-dani, Hakone, Japan",AP018553,Sulfodiicoccus Acidiphilus,1,Sulfodiicoccus acidiphilus strain HS-1T
"Nitrosophilus alvini gen. nov., sp. nov., a hydrogen-oxidizing chemolithoautotroph isolated from a deep-sea hydrothermal vent in the East Pacific Rise, inferred by a genome-based taxonomy of the phylum “Campylobacterota”",AP022847,Uncultured Bacterium,11,Nitrosophilus alvini gen. nov
Insights into Brevibacillus borstelensis AK1 through Whole Genome Sequencing: A Thermophilic Bacterium Isolated from a Hot Spring in Saudi Arabia,APBN01000001,Brevibacillus Borstelensis Akl,1,Brevibacillus borstelensis AK1
The Complete Genome and Proteome of Laribacter hongkongensis Reveal Potential Mechanisms for Adaptations to Different Temperatures and Habitats,CP001154,Unidentified ,11, Laribacter hongkongensis
Complete Genome Sequence Analysis of Acidithiobacillus ferrivorans XJFY6S-08 Reveals Environmental Adaptation to Alpine Acid Mine Drainage,CP001219,Uncultured Bacterium,11,Acidithiobacillus ferrivorans XJFY6S-08
,CP002985,Unidentified ,11,Acidithiobacillus ferrivorans XJFY6S-08
,CP059488,Uncultured bacterium,11,Acidithiobacillus ferrivorans XJFY6S-08
,LT841305,Unidentified ,11,Acidithiobacillus ferrivorans XJFY6S-08
Complete genome sequence of a denitrifying bacterium Halomonas sp. SS10-MC5 isolated from hydrothermal vent of Indian Ocean,CP065435,Halmonas Desidereta sp1,1, Bacterium Halomonas 
"Complete genome sequence of Anoxybacter fermentans DY22613T, a piezophilic dissimilatory Fe(III)-reducing bacterium isolated from East Pacific Rise hydrothermal sulfides",CP016379,Anoxybacter Fermentans,1,Anoxybacter fermentans DY22613T
"Complete Genome Sequence of Paenibacillus sp. JZ16, a Plant Growth Promoting Root Endophytic Bacterium of the Desert Halophyte Zygophyllum Simplex",CP017659,Paenibacillus Lautus,1,Paenibacillus sp. JZ16
"Complete Genome Sequence Analysis of Enterobacter sp. SA187, a Plant Multi-Stress Tolerance Promoting Endophytic Bacterium",CP019113,Enterobacter Kobei,1, Enterobacter sp. SA187
"Thauera hydrothermalis sp. nov., a thermophilic bacterium isolated from hot spring",CP029331,Thauera sp.,1,Thauera hydrothermalis sp. nov.
Characterization of the Genome Feature and Toxic Capacity of a Bacillus wiedmannii Isolate From the Hydrothermal Field in Okinawa Trough,CP032365,Bacillus sp. TW1,1,Bacillus wiedmannii 
"Staphylospora marina gen. nov., sp. nov., a novel member of the family Thermoactinomycetaceae, isolated from a deep-sea hydrothermal vent in the Pacific Ocean",CP034118,Thermoactinomycetaceae Bacterium,1,Staphylospora marina gen. nov
"Complete genome sequence of Paenisporosarcina antarctica CGMCC 1.6503T, a marine psychrophilic bacterium isolated from Antarctica",CP038015,Sporosarcina Sp KS7-3,1, Paenisporosarcina antarctica CGMCC 1.6503T
"Complete genome sequence of Alteromonas pelagimontana 5.12T, a marine exopolysaccharide-producing bacterium isolated from hydrothermally influenced deep-sea sediment of eastern Southwest Indian Ridge",CP052766,Alteromonas Pelagimontana,1, Alteromonas pelagimontana 5.12T
"Complete genome sequence and comparative genome analysis of Alcanivorax sp. IO_7, a marine alkane-degrading bacterium isolated from hydrothermally-influenced deep seawater of southwest Indian ridge",CP053420,Alcanivorax sp. MARC4R,1,Alcanivorax sp. IO_7
Complete genome sequence of Roseivivax marinus strain TCYB24 with quorum sensing system reveal the adaptive mechanism against deep-sea hydrothermal environment,CP090152,Roseivivax Marinus,2,Roseivivax marinus strain TCYB24
Whole-Genome and Transcriptome Sequencing-Based Characterization of Bacillus Cereus NR1 From Subtropical Marine Mangrove and Its Potential Role in Sulfur Metabolism,CP090421,Bacillus Anthracis str. A0389,2, Bacillus Cereus NR1 
Geoalkalibacter halelectricus SAP-1 sp. nov. possessing extracellular electron transfer and mineral-reducing capabilities from a haloalkaline environment,CP092109, Uncultured Bacterium,1,Geoalkalibacter halelectricus SAP-1 sp. Nov
High-quality genome assembly and annotation of five bacteria isolated from the Abu Dhabi sabkha-shore region,CP145722,Bacillus Subtillis,1,
,CP145138,Bacillus Megaterium,5,
,CP144918,Altererythrobacter Marinus,1,
,CP145595,Staphylococcus Capitis,2,
,CP145596,Staphylococcus Capitis,2,
,CP145137,Bacillus Subtilis,2,
"A novel UV-resistant bacterium Sphingomonas endolithica sp. nov., and genomic analysis, isolated from the north slope of Mount Everest",CP103057,Uncultured Bacterium,11,Sphingomonas endolithica sp. Nov
,AJKS02000001,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000002,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000003,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000004,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000005,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000006,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000007,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000008,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000009,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000010,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000011,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000012,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000013,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000014,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000015,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000016,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000017,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000018,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000019,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000020,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000021,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000022,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000023,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000024,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000025,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000026,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000027,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000028,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000029,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000030,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000031,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000032,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000033,Not found!,34, Halomonas smyrnensis AAD6T
,AJKS02000034,Not found!,34, Halomonas smyrnensis AAD6T
"Whole-Genome Shotgun Sequencing of Rhodococcus erythropolis Strain P27, a Highly Radiation-Resistant Actinomycete from Antarctica",AP008957.1,Rhodococcus erythropolis,1,Rhodococcus erythropolis Strain P27
,NZ_CP019304.1,Arthrobacter sp. QXT-31,1,Arthrobacter sp. PAMC25564
,NZ_CP007595.1,Arthrobacter sp. PAMC 25486,1,Arthrobacter sp. PAMC25564
,NZ_CP017421.1,Arthrobacter sp. PSB94,2,Arthrobacter sp. PAMC25564
,NZ_CP015732.1,Arthrobacter sp. U41,1,Arthrobacter sp. PAMC25564
,NZ_CP029642.1,Arthrobacter sp. DCT-5,1,Arthrobacter sp. PAMC25564
,NZ_CP040174.1,uncultured bacterium,11,Arthrobacter sp. PAMC25564
,AP018697.1,unidentified,2,Arthrobacter sp. PAMC25564
,AP014719.1,Arthrobacter sp. H20,1,Arthrobacter sp. PAMC25564
Analysis of the complete genome of Fervidococcus fontis confirms the distinct phylogenetic position of the order Fervidicoccales and suggests its environmental function,CP003423,uncultured archaeon,1, Fervidococcus fontis
"Complete genome sequence of Hymenobacter swuensis, an ionizing-radiation resistant bacterium isolated from mountain soil",CP007145,Hymenobacter swuensis DY53,1,Hymenobacter swuensis
,CP007144,Not Found,16,Hymenobacter swuensis
,CP007143,Not Found,16,Hymenobacter swuensis
,CP007146,Not Found,16,Hymenobacter swuensis
"Complete genome sequence of ‘Halanaeroarchaeum sulfurireducens’ M27-SA2, a sulfur-reducing and acetate-oxidizing haloarchaeon from the deep-sea hypersaline anoxic lake Medee",CP011564,Halanaeroarchaeum sulfurireducens,1,Halanaeroarchaeum sulfurireducens
,CP011565,Not Found,16,Halanaeroarchaeum sulfurireducens
"Complete genome sequence of Arthrobacter sp. ERGS1:01, a putative novel bacterium with prospective cold active industrial enzymes, isolated from East Rathong glacier in India",CP012477,Not Found,16,Arthrobacter sp. ERGS1:01
,CP012478,Not Found,16,Arthrobacter sp. ERGS1:01
,CP012479,Arthrobacter sp. ERGS1:01,2,Arthrobacter sp. ERGS1:01
"Complete genome sequence of Janthinobacterium sp. B9-8, a violacein-producing bacterium isolated from low-temperature sewage",CP014222,Janthinobacterium sp. B9-8,1,Janthinobacterium sp. B9-8
Complete genome sequence of opine-utilizing Variovorax sp. strain PAMC28711 isolated from an Antarctic lichen,CP014517,Variovorax sp. PAMC 28711,1,Variovorax sp. strain PAMC28711
Complete genome sequence of Thermus brockianus GE-1 reveals key enzymes of xylan/xylose metabolism,CP016312,Thermus scotoductus SA-01,4,Thermus brockianus GE-1
,CP016313,Not Found,16,Thermus brockianus GE-1
,CP016314,Not found,16,Thermus brockianus GE-1
"Complete genome sequence of Granulosicoccus antarcticus type strain IMCC3135T, a marine gammaproteobacterium with a putative dimethylsulfoniopropionate demethylase gene",CP018632,Granulosicoccus antarcticus,1,Granulosicoccus antarcticus type strain IMCC3135T
"Isolation and complete genome sequence of Halorientalis hydrocarbonoclasticus sp. nov., a hydrocarbon-degrading haloarchaeon",CP019067,Halorientalis sp. IM1011,1, Halorientalis hydrocarbonoclasticus sp. nov
,CP019068,Not Found,16, Halorientalis hydrocarbonoclasticus sp. nov
,CP019069,Not Found,16, Halorientalis hydrocarbonoclasticus sp. nov
"Genomic insights into the molecular mechanisms of a Pseudomonas strain significant in its survival in Kongsfjorden, an Arctic fjord",CP033116,Pseudomonas pelagia,1,Pseudomonas 
"Nakamurella antarctica sp. nov., isolated from Antarctica South Shetland Islands soil",CP034170,Nakamurella sp. s14-144,1,Nakamurella antarctica sp. Nov
Complete genome sequence of Pseudoalteromonas sp. Xi13 capable of degrading ?-selenocarrageenan isolated from the floating ice of Southern Ocean,CP034439,Pseudoalteromonas sp. 1_2015MBL_MicDiv,1,Pseudoalteromonas sp. Xi13 
,CP034440,,0,Pseudoalteromonas sp. Xi13 
"Complete Genome Sequences of Colwellia sp. Arc7-635, a Denitrifying Bacterium Isolated from Arctic Seawater",CP034660,metagenome,2,Colwellia sp. Arc7-635
Complete genome of Sulfitobacter sp. BSw21498 isolated from seawater of Arctic Kongsfjorden,CP040753,Sulfitobacter sp. NAS-14.1,1,Sulfitobacter sp. BSw21498 
,CP040754,,0,Sulfitobacter sp. BSw21498 
Complete genome sequence of an Arctic Ocean bacterium Shewanella sp. Arc9-LZ with capacity of synthesizing silver nanoparticles in darkness,CP048031,Shewanella sp. 11B5,1, Shewanella sp. Arc9-LZ
Complete genome of Polaromonas vacuolata KCTC 22033T isolated from beneath Antarctic Sea ice,CP051461,Polaromonas sp. E16S,1,Polaromonas vacuolata KCTC 22033T
Complete genome sequence of Rhodoferax sp. PAMC 29310 from a marine sediment of the East Siberian Sea,CP072852,Rhodoferax saidenbachensis,1, Rhodoferax sp. PAMC 29310
Complete genome sequencing and comparison of two nitrogen-metabolizing bacteria isolated from Antarctic deep-sea sediment,CP086344,Halomonas sp. P35,1,
"Draft Genome Sequence of Rhizobium sp. Strain 32-5/1, Isolated from Vicia cracca L. Root Nodules in the Russian Arctic",CP120638,uncultured bacterium,11,Rhizobium sp. Strain 32-5/1
,CP120639,,0,Rhizobium sp. Strain 32-5/1
,CP120640,,0,Rhizobium sp. Strain 32-5/1
"Genome analysis of Tepidibacter sp. SWIR-1, an anaerobic endospore-forming bacterium isolated from a deep-sea hydrothermal vent",CP120733,metagenome,2,Tepidibacter sp. SWIR-1
,CP120734,,0,Tepidibacter sp. SWIR-1
Complete genome sequence data of an Antarctic bacterium Arthrobacter sp. EM1 from the freshwater lake of the King George Island,CP124836.1,Arthrobacter sp. An5,1,Arthrobacter sp. EM1
Complete genome sequence of a novel Pseudomonas sp. IT1137 isolated from Antarctic intertidal sediment showing potential for alkane degradation at low temperatures,CP141799,Pseudomonas sp. CC6-YY-74,1,Pseudomonas sp. IT1137
,CP141800,,0,Pseudomonas sp. IT1137
"The genome of Desulfotalea psychrophila, a sulfate-reducing bacterium from permanently cold Arctic sediments",CR522870.1,"
Species	Match	Confidence of result
Desulfotalea psychrophila LSv54",1,Desulfotalea psychrophila
New Research on the Bacillus anthracis Genetic Diversity in Siberia,NC_007530.2,Bacillus anthracis str. A0389,2, Bacillus anthracis
,NC_007322.2,,0, Bacillus anthracis
,NC_007323.3,,0, Bacillus anthracis
